City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,tamale,9.4008,-0.8393,29.81,55,90,5.05,GH,1682461906
328,concepcion,-36.827,-73.0498,13.89,82,0,2.57,CL,1682461907
329,mattru,7.6244,-11.8332,23.59,95,94,1.11,SL,1682461907
330,yerbogachen,61.2767,108.0108,-5.85,95,93,1.94,RU,1682461908
331,itoman,26.1247,127.6694,20.22,96,75,9.26,JP,1682461908
332,raudeberg,61.9875,5.1352,2.37,75,80,9.65,NO,1682461909
333,san roque,36.2107,-5.3842,18.46,82,1,3.09,ES,1682461909
334,namtsy,62.7161,129.6658,-2.13,90,97,2.59,RU,1682461910
335,lichinga,-13.3128,35.2406,12.69,95,3,2.27,MZ,1682461910
336,asau,46.4333,26.4,9.6,93,99,2.3,RO,1682461911
337,raikot,30.65,75.6,24.16,29,46,2.27,IN,1682461912
338,karratha,-20.7377,116.8463,24.74,43,100,2.7,AU,1682461913
339,krumbach,48.2418,10.3632,6.58,91,75,2.3,DE,1682461913
340,evensk,61.95,159.2333,-1.7,74,51,3.31,RU,1682461914
341,uttarkashi,30.7333,78.45,14.04,43,100,3.12,IN,1682461914
342,yilan,24.757,121.753,21.68,99,100,2.39,TW,1682461915
343,kungurtug,50.5994,97.5228,-6.49,81,96,3.6,RU,1682461915
344,champerico,14.3,-91.9167,34.3,61,45,5.76,GT,1682461916
345,mariana,-20.3778,-43.4161,17.98,98,62,0.67,BR,1682461840
346,aksarka,66.5606,67.7975,-10.18,90,5,3.03,RU,1682461917
347,letlhakane,-21.4167,25.5833,23.44,38,4,2.63,BW,1682461918
348,bako,5.7833,36.5667,16.21,98,100,0.91,ET,1682461918
349,ancud,-41.8697,-73.8203,11.59,96,100,3.04,CL,1682461919
350,quatre cocos,-20.2078,57.7625,24.06,86,30,2.34,MU,1682461919
351,bilibino,68.0546,166.4372,-4.34,56,32,0.08,RU,1682461920
352,cherskiy,68.75,161.3,-4.43,74,56,1.94,RU,1682461920
353,verkhnyaya inta,65.9811,60.3094,-5.47,93,13,3.4,RU,1682461921
354,toora-khem,52.4675,96.11,-5.98,77,41,1.77,RU,1682461921
355,verkhoyansk,67.5447,133.385,-6.88,90,93,1.03,RU,1682461922
356,talkha,31.0539,31.3779,14.77,74,0,3.02,EG,1682461923
357,petatlan,17.5167,-101.2667,31.89,57,18,3.79,MX,1682461924
358,tilichiki,60.4667,166.1,-7.77,84,100,3.11,RU,1682461924
